Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
8.25,0.19,0.18,0.19,0.20,0.17,0.19,0.22,0.23,0.21,0.20,0.22,0.20,0.00,0.00,0.00,0.00,0.16,0.13,0.20,0.20,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.21,0.22,0.21,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.23,0.23,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.16,0.17,0.21,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.22,0.22
8.50,0.19,0.18,0.19,0.20,0.17,0.19,0.22,0.23,0.22,0.20,0.21,0.20,0.00,0.00,0.00,0.00,0.16,0.14,0.20,0.20,0.21,0.21,0.21,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.21,0.24,0.21,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.23,0.23,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.16,0.17,0.21,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.23,0.22
8.75,0.19,0.19,0.19,0.20,0.17,0.19,0.22,0.23,0.22,0.20,0.22,0.20,0.00,0.00,0.00,0.00,0.16,0.14,0.21,0.21,0.22,0.21,0.21,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.21,0.24,0.21,0.21,0.22,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.16,0.18,0.21,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.22,0.23
9.00,0.20,0.19,0.19,0.20,0.18,0.20,0.22,0.23,0.22,0.20,0.23,0.21,0.00,0.00,0.00,0.00,0.16,0.14,0.21,0.21,0.22,0.21,0.21,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.21,0.24,0.22,0.21,0.23,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.16,0.18,0.22,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.23
9.25,0.19,0.19,0.19,0.20,0.18,0.20,0.22,0.23,0.23,0.21,0.22,0.21,0.00,0.00,0.00,0.00,0.16,0.14,0.21,0.21,0.22,0.21,0.21,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.21,0.26,0.21,0.22,0.22,0.21,0.23,0.22,0.23,0.23,0.24,0.24,0.22,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.07,0.16,0.18,0.22,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.23,0.23
9.50,0.20,0.19,0.19,0.20,0.18,0.20,0.23,0.24,0.22,0.21,0.23,0.22,0.00,0.00,0.00,0.00,0.16,0.14,0.21,0.21,0.22,0.21,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.22,0.24,0.22,0.21,0.23,0.21,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.07,0.16,0.19,0.22,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.23,0.22
9.75,0.20,0.19,0.19,0.20,0.18,0.20,0.22,0.24,0.23,0.21,0.23,0.22,0.00,0.00,0.00,0.00,0.16,0.15,0.21,0.21,0.22,0.21,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.22,0.25,0.22,0.21,0.23,0.21,0.22,0.22,0.23,0.24,0.24,0.24,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.07,0.17,0.18,0.22,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.23,0.23
10.00,0.20,0.20,0.20,0.20,0.18,0.19,0.23,0.24,0.23,0.21,0.24,0.23,0.00,0.00,0.00,0.00,0.16,0.15,0.21,0.21,0.23,0.22,0.22,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.22,0.26,0.22,0.21,0.22,0.21,0.23,0.22,0.24,0.24,0.24,0.25,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.07,0.17,0.19,0.23,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.23,0.23
10.25,0.20,0.20,0.20,0.20,0.18,0.20,0.23,0.25,0.23,0.21,0.24,0.23,0.00,0.00,0.00,0.00,0.16,0.15,0.22,0.21,0.22,0.22,0.22,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.23,0.27,0.22,0.22,0.23,0.21,0.23,0.23,0.23,0.24,0.24,0.25,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.17,0.19,0.23,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.23,0.23
10.50,0.20,0.20,0.20,0.20,0.18,0.19,0.23,0.25,0.24,0.22,0.24,0.23,0.00,0.00,0.00,0.00,0.15,0.16,0.22,0.22,0.22,0.22,0.22,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.23,0.27,0.22,0.22,0.23,0.21,0.23,0.23,0.24,0.25,0.25,0.25,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.17,0.19,0.23,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.24,0.23
10.75,0.20,0.20,0.20,0.20,0.18,0.20,0.24,0.25,0.25,0.22,0.25,0.24,0.00,0.00,0.00,0.00,0.15,0.16,0.22,0.21,0.23,0.22,0.22,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.18,0.24,0.27,0.22,0.22,0.23,0.22,0.23,0.23,0.24,0.25,0.25,0.25,0.24,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.17,0.19,0.23,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.18,0.24,0.24
